Thought,Black and White,Overgeneralization,Mental Filtering,Disqualifying the Positive,Mind Reading,Fortune Telling,Catastrophizing,Emotional Reasoning,Should Statements,Labeling,Self-Blame,Blaming Others
"If you do it well, it won't be cherished.",0,1,0,0,0,1,0,0,0,0,0,0
My humble seed has grown into a tree in my heart.,0,0,0,0,0,0,0,0,0,1,0,0
Why am I still alive?,0,0,0,0,0,0,0,0,0,1,0,0
"I can't be happy anymore, and I'm tired of being told that I'm disappointed, and I don't want to live, and I'm thinking about how I'm going to die, and the doctor wants me to go back to therapy, and I don't want to.",0,0,1,0,0,0,0,0,0,1,0,0
No one can save me.,0,0,0,0,0,1,0,0,0,0,0,0
I don't know if I'm depressed or weak.,0,0,0,0,0,0,0,0,0,1,0,0
"Living is dying, losing power from body to heart.",0,0,1,0,0,0,0,0,0,0,0,0
"I was thrown out today, and I had no place to go, and I knew that it was the sky that kept driving me off the road. He refused to give me 1.5 square metres of safety. I said to my cool table that you and I were poor, that the world was big, that there was no room for you and me, that perhaps your best place was the trash can, and that I was the graveyard. But I still didn't throw him in the trash because this cool seat was willing to live with me.",0,0,0,0,0,1,0,0,0,0,0,0
"I tried my best, but in the end I was thrown away. My heart was so worthless.",0,0,0,0,0,0,0,0,1,0,0,0
She's eating hotpots in her room with him. I can't stop talking. I feel like I'm too much.,0,0,0,0,0,0,1,0,0,1,0,0
I think I must have died very early.,0,0,0,0,0,1,0,0,0,0,0,0
Anxiety & nbsp; & nbsp; every day I want to jump; & nbsp; I don't know how to lay my bed every day.,0,0,1,0,0,0,0,0,0,0,0,0
"I'm here again, and I feel so miserable, I feel like I'm hopeless, I feel so sorry for my parents, I'm my age, I worry about them, I'm so incompetent.",0,0,0,0,0,0,0,0,0,1,1,0
You can't do anything. You can't do anything. I'm useless.,0,1,0,0,0,0,0,0,0,1,0,0
"Can you be so passive every day? “You're so annoying, you don't know?” “You're so bored all the time.” That's what I've heard most comfortingly: I've got my heart pierced like a knife, and I've been walking on a path full of thorns, walking around, walking around, living like a corpse, suffering. Go on with your life, and the next generation is not good enough.",0,0,0,0,0,0,0,0,0,1,0,0
"I don't want to get married, even if I am a monster, and I just want to be free.",0,0,1,0,0,0,0,0,0,1,0,0
"I don't have anything, I'm even, I'm not good at personal relationships, I don't see anything in the future, I lost a lot of weight in the last semester, my roommate says I'm a little self-centered behind my back, I try hard to adjust my mind, I laugh every day, I make myself look like I'm not alone, I'm tired every day and I can't do anything.",0,0,1,0,0,0,0,0,0,0,0,0
"Suddenly I look forward to someone coming into my life, but this is what I look like again.",0,0,0,0,0,0,0,0,0,1,0,0
The whole world really doesn't want me anymore.,0,0,0,0,0,1,0,0,0,0,0,0
"Last night we discussed with our friends how to die without pain, and then before, and then, and then, and then, and then, and then, and then, and then, and then, and then, and then, and then, and then, and then, and then, and yesterday, it seemed like, and then, and then, and then, and then, and then, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, like, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you",0,0,0,0,0,0,0,0,1,0,0,0
"I've always thought that I'm open and strong, that I've been fooling everyone around, including my family, that I don't care about my psychological state, that I've often said something that hurts. Recently, I've been thinking more and more about suicide, and if I had the courage to eat, I'd have had the courage to live, so I wouldn't have spent every dark tomorrow.",0,0,1,0,0,0,0,0,0,0,0,0
I shouldn't trust anyone.,0,0,0,0,0,0,0,0,1,0,0,0
Maybe I deserve it. I've been a loser since I was born. I don't really deserve it. I didn't do anything.,0,0,0,0,0,0,0,0,1,1,0,0
"It's stressful, family doesn't understand, it's sad, it's prenuptial anxiety.",0,0,1,0,0,0,0,0,0,0,0,0
I'm tired. I'm not getting better.,0,0,0,0,0,1,0,0,0,0,0,0
What kind of friend is that? It looks so good.,0,0,0,0,0,0,0,0,0,1,0,0
Happy things never happen to me.,0,0,0,0,0,1,0,0,0,0,0,0
There's no light in the future.,0,0,0,0,0,1,0,0,0,0,0,0
"Every time you see an accident at a young age or a disaster, it hurts. Why would God take them away? Why not me? I'm the one who deserves to die.",0,0,0,0,0,0,0,0,1,0,0,0
"I don't want to die, I'm afraid of pain, but the self-defeating, self-confident, unconvincing self-obsessed, obnoxious, trying to kill it, but I can't, and I can't.",0,0,0,0,0,0,0,0,0,1,0,0
"I met a brother in your review today, and he wasn't happy, and I talked to him, and I wanted to bring him joy and hope, and I felt in his heart, but he didn't seem to care for my seriousness, disappointment, disappointment.",0,0,0,0,0,1,0,0,0,0,0,0
"When I got to work, I took a sick leave, but I didn't have a fever, I just didn't want to see anybody, I didn't want to smile, I didn't want to live.",0,0,1,0,0,0,0,0,0,0,0,0
"So is it depression or social fear? No, I think it's both.",0,0,0,0,0,0,0,0,1,0,0,0
"What did I do wrong? My biggest mistake was that I shouldn't have come to this world in the first place. My biggest mistake was that I should have died when I was born, that I shouldn't have come back alive after I left home.",0,0,0,0,0,0,0,0,1,0,0,0
Life is hopeless.,0,0,1,0,0,0,0,0,0,0,0,0
I can't feel myself anymore. I'm confused. I don't really have the ability to adjust. I can't understand. I can't tell. I don't know when I'm going to last.,0,0,0,0,0,0,0,0,0,1,0,0
When will the day of this heavenly hell come to an end?,1,0,0,0,0,0,0,0,0,0,0,0
"I broke up today, I begged him for so long, he was tired, he really didn't want to go with me. I know a lot of things, but I just can't get out, I've been isolated since I was a kid, I feel like I'm useless, I can't sleep alone, I can't sleep, I don't want to go to a hospital, I can't buy sleeping pills, I've swallowed a lot of anti-blacks, I've poured a lot of them in my mouth, but I still can't sleep.",0,0,1,0,0,0,1,0,0,1,0,0
Everything's gonna be all right.,0,0,0,0,0,1,0,0,0,0,0,0
"Every time you hear a teacher say something about taking responsibility, you feel useless. Every day you live just to be alive and what you're going to say.",0,0,0,0,0,0,0,0,0,1,0,0
